UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 19:21 ?        00:00:01 /sbin/init splash
root           2       0  0 19:21 ?        00:00:00 [kthreadd]
root           3       2  0 19:21 ?        00:00:00 [rcu_gp]
root           4       2  0 19:21 ?        00:00:00 [rcu_par_gp]
root           5       2  0 19:21 ?        00:00:00 [slub_flushwq]
root           6       2  0 19:21 ?        00:00:00 [netns]
root           9       2  0 19:21 ?        00:00:03 [kworker/u2:0-events_power_efficient]
root          10       2  0 19:21 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 19:21 ?        00:00:00 [rcu_tasks_kthread]
root          12       2  0 19:21 ?        00:00:00 [rcu_tasks_rude_kthread]
root          13       2  0 19:21 ?        00:00:00 [rcu_tasks_trace_kthread]
root          14       2  0 19:21 ?        00:00:02 [ksoftirqd/0]
root          15       2  0 19:21 ?        00:00:00 [rcu_preempt]
root          16       2  0 19:21 ?        00:00:00 [migration/0]
root          17       2  0 19:21 ?        00:00:00 [idle_inject/0]
root          19       2  0 19:21 ?        00:00:00 [cpuhp/0]
root          20       2  0 19:21 ?        00:00:00 [kdevtmpfs]
root          21       2  0 19:21 ?        00:00:00 [inet_frag_wq]
root          22       2  0 19:21 ?        00:00:00 [kauditd]
root          23       2  0 19:21 ?        00:00:00 [khungtaskd]
root          24       2  0 19:21 ?        00:00:00 [oom_reaper]
root          27       2  0 19:21 ?        00:00:00 [writeback]
root          28       2  0 19:21 ?        00:00:00 [kcompactd0]
root          29       2  0 19:21 ?        00:00:00 [ksmd]
root          30       2  0 19:21 ?        00:00:00 [khugepaged]
root          31       2  0 19:21 ?        00:00:00 [kintegrityd]
root          32       2  0 19:21 ?        00:00:00 [kblockd]
root          33       2  0 19:21 ?        00:00:00 [blkcg_punt_bio]
root          34       2  0 19:21 ?        00:00:00 [tpm_dev_wq]
root          35       2  0 19:21 ?        00:00:00 [ata_sff]
root          36       2  0 19:21 ?        00:00:00 [md]
root          37       2  0 19:21 ?        00:00:00 [edac-poller]
root          38       2  0 19:21 ?        00:00:00 [devfreq_wq]
root          39       2  0 19:21 ?        00:00:00 [watchdogd]
root          40       2  0 19:21 ?        00:00:00 [kworker/0:1H-kblockd]
root          41       2  0 19:21 ?        00:00:00 [kswapd0]
root          42       2  0 19:21 ?        00:00:00 [ecryptfs-kthread]
root          43       2  0 19:21 ?        00:00:00 [kthrotld]
root          44       2  0 19:21 ?        00:00:00 [acpi_thermal_pm]
root          45       2  0 19:21 ?        00:00:00 [scsi_eh_0]
root          46       2  0 19:21 ?        00:00:00 [scsi_tmf_0]
root          47       2  0 19:21 ?        00:00:00 [scsi_eh_1]
root          48       2  0 19:21 ?        00:00:00 [scsi_tmf_1]
root          52       2  0 19:21 ?        00:00:00 [mld]
root          53       2  0 19:21 ?        00:00:00 [ipv6_addrconf]
root          61       2  0 19:21 ?        00:00:00 [kstrp]
root          63       2  0 19:21 ?        00:00:00 [zswap-shrink]
root          64       2  0 19:21 ?        00:00:00 [kworker/u3:0]
root          68       2  0 19:21 ?        00:00:00 [charger_manager]
root         105       2  0 19:21 ?        00:00:02 [kworker/0:3-events]
root         106       2  0 19:21 ?        00:00:00 [scsi_eh_2]
root         107       2  0 19:21 ?        00:00:00 [scsi_tmf_2]
root         109       2  0 19:21 ?        00:00:03 [kworker/0:2H-kblockd]
root         130       2  0 19:21 ?        00:00:01 [jbd2/sda3-8]
root         131       2  0 19:21 ?        00:00:00 [ext4-rsv-conver]
root         170       1  0 19:21 ?        00:00:00 /lib/systemd/systemd-journald
root         198       2  0 19:21 ?        00:00:00 [irq/18-vmwgfx]
root         213       1  0 19:21 ?        00:00:00 /lib/systemd/systemd-udevd
root         267       2  0 19:21 ?        00:00:00 [cryptd]
systemd+     358       1  0 19:21 ?        00:00:01 /lib/systemd/systemd-oomd
systemd+     359       1  0 19:21 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     360       1  0 19:21 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         469       1  0 19:21 ?        00:00:00 /usr/libexec/accounts-daemon
root         470       1  0 19:21 ?        00:00:00 /usr/sbin/acpid
avahi        475       1  0 19:21 ?        00:00:00 avahi-daemon: running [UbuntuVM.local]
root         476       1  0 19:21 ?        00:00:00 /usr/sbin/cron -f -P
message+     479       1  0 19:21 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         483       1  0 19:21 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         496       1  0 19:21 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         497       1  0 19:21 ?        00:00:01 /usr/libexec/polkitd --no-debug
root         500       1  0 19:21 ?        00:00:00 /usr/libexec/power-profiles-daemon
syslog       504       1  0 19:21 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         514       1  0 19:21 ?        00:00:02 /usr/lib/snapd/snapd
root         517       1  0 19:21 ?        00:00:00 /usr/libexec/switcheroo-control
root         520       1  0 19:21 ?        00:00:00 /lib/systemd/systemd-logind
root         531       1  0 19:21 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         532       1  0 19:21 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        548     475  0 19:21 ?        00:00:00 avahi-daemon: chroot helper
root         587       1  0 19:21 ?        00:00:00 /usr/sbin/cupsd -l
root         596       1  0 19:21 ?        00:00:00 /usr/sbin/ModemManager
root         614       1  0 19:21 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         631       1  0 19:21 ?        00:00:00 /usr/sbin/gdm3
lp           635     587  0 19:21 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root         691       1  0 19:21 ?        00:00:00 /usr/sbin/cups-browsed
kernoops     698       1  0 19:21 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     702       1  0 19:21 ?        00:00:00 /usr/sbin/kerneloops
rtkit        748       1  0 19:21 ?        00:00:00 /usr/libexec/rtkit-daemon
root         909       1  0 19:21 ?        00:00:00 /usr/libexec/upowerd
root         968       1  1 19:21 ?        00:00:23 /usr/libexec/packagekitd
colord      1114       1  0 19:21 ?        00:00:00 /usr/libexec/colord
root        1175     631  0 19:22 ?        00:00:00 gdm-session-worker [pam/gdm-password]
lucy        1188       1  0 19:22 ?        00:00:00 /lib/systemd/systemd --user
lucy        1189    1188  0 19:22 ?        00:00:00 (sd-pam)
lucy        1195    1188  0 19:22 ?        00:00:00 /usr/bin/pipewire
lucy        1196    1188  0 19:22 ?        00:00:00 /usr/bin/pipewire-media-session
lucy        1198    1188  0 19:22 ?        00:00:01 /usr/bin/pulseaudio --daemonize=no --log-target=journal
lucy        1199    1188  0 19:22 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
lucy        1205       1  0 19:22 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
lucy        1209    1188  0 19:22 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
lucy        1211    1188  0 19:22 ?        00:00:00 /usr/libexec/gvfsd
lucy        1220    1188  0 19:22 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
lucy        1224    1175  0 19:22 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
lucy        1228    1224  0 19:22 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
lucy        1244    1188  0 19:22 ?        00:00:00 /usr/libexec/xdg-document-portal
lucy        1257    1188  0 19:22 ?        00:00:01 /usr/libexec/tracker-miner-fs-3
lucy        1261    1188  0 19:22 ?        00:00:00 /usr/libexec/xdg-permission-store
root        1267    1244  0 19:22 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
lucy        1302    1188  0 19:22 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
lucy        1309    1188  0 19:22 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
lucy        1321    1188  0 19:22 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
lucy        1323    1188  0 19:22 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
lucy        1328    1188  0 19:22 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
lucy        1332    1188  0 19:22 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
lucy        1344    1188  0 19:22 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
lucy        1349    1188  0 19:22 ?        00:00:00 /usr/libexec/goa-daemon
lucy        1361    1323  0 19:22 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
lucy        1369    1188  6 19:22 ?        00:01:28 /usr/bin/gnome-shell
lucy        1372    1188  0 19:22 ?        00:00:00 /usr/libexec/goa-identity-service
lucy        1384    1361  0 19:22 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
lucy        1442    1188  0 19:22 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
lucy        1448    1188  0 19:22 ?        00:00:00 /usr/libexec/evolution-source-registry
